,title,location,address,phone,website,hours,description,source
0,Anjuna Flea Market,Anjuna,,,,8am-sunset Wed Nov-Apr,"Anjuna’s weekly Wednesday flea market is as much part of the Goan experience as a day on the beach. More than three decades ago, it was conceived and created by hippies smoking jumbo joints, convening to compare experiences on the heady Indian circuit and selling pairs of Levi jeans or handmade jewellery to help fund the rest of their stay.
Nowadays things are far more mainstream and the merchandise comes from all over India: sculptures and jewellery courtesy of the Tibetan and Kashmiri traders; colourful Gujarati tribal women selling T-shirts; richly colourful saris, bags and bedspreads from Rajasthan; sacks of spices from Kerala; and the hard-to-miss bejewelled tribal girls from Karnataka pleading passers-by to ‘come look in my shop’. Weaving in among this syrupy blend of stalls are the remaining hippies, backpackers, weekenders from Mumbai, and bus- and taxi-loads of package tourists from Russia and Europe.
Such purchasing power has inevitably pushed market prices up but with plenty of competition you can still find some good bargains if you know the right price. These days the market sprawls back from the beach to the entrance road in the paddy fields; the endless stalls can become repetitive after a while. For a rest from the shopping there are chai stalls and a couple of restaurant-bars with live music. Cafe Looda has a fabulous sunset beachfront location and live music from 5pm, while Seabreeze packs them in with live music in the afternoon..
You might still find Westerners trading goods and services (tattoos, piercings and the like) but it’s much more a souvenir market. Despite changes over the years, the market shows no sign of waning in popularity, so dive in and enjoy the ride. The best time to visit is early (from 8am) or late afternoon (around 4pm till close just after sunset). The first market of the season is around mid-November, continuing till the end of April.",https://www.lonelyplanet.com/india/goa/anjuna/shopping/anjuna-flea-market/a/poi-sho/1116755/356225
1,Mapusa Market,North Goa,,,,8am-6.30pm Mon-Sat,"The Mapusa market goes about its business daily except Sunday, but it really gets going on Friday morning. It’s a raucous affair that attracts vendors and shoppers from all over Goa, with an entirely different vibe to the Anjuna flea market. Here you’ll find locals haggling for clothing and produce, and you can also hunt out antiques, souvenirs and textiles.
So significant is the market locally that the town’s name is derived from the Konkani words map (meaning ‘measure’) and sa (meaning ‘fill up’), in reference to the trade in spices, vegetables and fruit that occurs here daily.",https://www.lonelyplanet.com/india/goa/mapusa/shopping/mapusa-market/a/poi-sho/1117504/356229
2,Golden Heart Emporium,Margao,"Confidant House, Abade Faria Rd",,,10am-2pm & 4-7.30pm Mon-Sat,"One of Goa’s best bookshops, Golden Heart is crammed from floor to ceiling with fiction, nonfiction, children’s books, and illustrated volumes on the state’s food, architecture and history. It also stocks otherwise hard-to-get titles by local Goan authors. It’s down a little lane off Abade Faria Rd.",https://www.lonelyplanet.com/india/goa/margao-madgaon/shopping/golden-heart-emporium/a/poi-sho/1150126/356235
3,Other India Bookstore,North Goa,Mapusa Clinic Rd,0832-2263305,www.otherindiabookstore.com,"9am-5pm Mon-Fri, to 1pm Sat","This friendly and rewarding little bookshop, at the end of an improbable, dingy corridor, specialises in books about Goa and India with a focus on spirituality, environment, politics and travel. It’s signposted near the Mapusa Clinic, a few hundred metres up the hill from the Municipal Gardens.",https://www.lonelyplanet.com/india/goa/mapusa/shopping/other-india-bookstore/a/poi-sho/1075662/356229
4,Literati Bookshop & Cafe,Calangute & Baga,Calangute,0832-2277740,www.literati-goa.com,10am-6.30pm Mon-Sat,"A refreshingly different bookstore, in the owners’ South Calangute home, and a very pleasant Italian-style garden cafe. Come for a fine espresso and browse the range of books by Goan and Indian authors as well as antiquarian literature. Check the website for readings and other events.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/shopping/literati-bookshop-cafe/a/poi-sho/1116791/1329280
5,Oxford Arcade,Anjuna,Anjuna-Vagator Rd,,,9am-9pm,"Oxford Arcade, 100m from the Starco crossroads on the road to Vagator, is a fully fledged two-storey supermarket, complete with shopping trolleys and checkout scanners. It’s an awesome place to stock up on toiletries, cheap booze and all those little international luxuries.",https://www.lonelyplanet.com/india/goa/anjuna/shopping/oxford-arcade/a/poi-sho/1181668/356225
6,Goa Animal Welfare Trust Shop,South Goa,,0832-2653677,www.gawt.org,9.30am-1pm & 4-7pm Mon-Sat,"The Goa Animal Welfare Trust shop, next door to Leda Lounge, is a charity shop with secondhand books and souvenirs. All proceeds go toward helping out Goa’s four-legged friends and the staff are happy to chat about the work of the GAWT, based in Curchorem.",https://www.lonelyplanet.com/india/goa/colva-and-benaulim/shopping/goa-animal-welfare-trust-shop/a/poi-sho/1017978/1315141
7,Municipal Market,Panaji,Heliogordo Salgado Rd,,,from 7.30am,"This atmospheric place, where narrow streets have been converted into covered markets, makes for a nice wander, offering fresh produce, clothing stalls and some tiny, enticing eateries. The fish market is a particularly interesting strip of activity.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/municipal-market/a/poi-sho/1181950/356231
8,Khadi India,Panaji,Dr Atmaram Borkar Rd,,,9am-1pm & 3-7pm,"Goa’s only outpost of the government’s Khadi & Village Industries Commission has a fine range of hand-woven cottons, oils, soaps, spices and other handmade products that come straight from (and directly benefit) regional villages.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/khadi-india/a/poi-sho/1290568/356231
9,Swiss Happy Cow Cheese,North Goa,,9923326310,www.swisshappycowchees.wixsite.com/cheese,"9am-7pm Mon-Fri, 9am-5pm Sat","Homesick for good cheese? Artisanal Swiss and French cheeses, including brie and feta, are made on-site here by a Swiss cheesemaker using local cow, buffalo and goat's milk. Cheeses are sold by weight from ₹500 to ₹1500 per kilogram.",https://www.lonelyplanet.com/india/goa/siolim/shopping/swiss-happy-cow-cheese/a/poi-sho/1613272/1301993
10,Singbal’s Book House,Panaji,Church Sq,0832-2425747,,9.30am-1pm & 3.30-7.30pm Mon-Sat,"On the corner opposite Panaji’s main church, Singbal’s is a local landmark with an excellent selection of international magazines and newspapers, and lots of books on Goa and travel.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/singbal-s-book-house/a/poi-sho/449831/356231
11,Caculo Mall,Panaji,16 Shanta. St Inez,0832-2222068,www.caculomall.in,10am-9pm,"Goa’s biggest mall is four levels of air-conditioned family shopping heaven with brand-name stores, food court, kids’ toys, bowling alley and arcade games.",https://www.lonelyplanet.com/india/goa/panaji-panjim/shopping/caculo-mall/a/poi-sho/1505933/356231
12,Arambol Hammocks,North Goa,327 Junas Waddo,9619175722,www.arambol.com,,"Now in Mandrem, Arambol Hammocks designs and sells hammocks, including their ‘flying carpets’ and ‘flying chairs'.",https://www.lonelyplanet.com/india/goa/mandrem/shopping/arambol-hammocks/a/poi-sho/1291470/1301996
13,Fabindia,North Goa,Fort Aguada Rd,,www.fabindia.com,10.30am-9pm,"Popular nationwide chain selling fair-trade bed and table linens, home furnishings, clothes, jewellery and toiletries. Fabindia makes for a great, colourful browse, and is perfect for picking up high-end gifts or treating yourself to a traditional kurta (long shirt) or salwar kameez (traditional dresslike tunic and trouser combination for women).",https://www.lonelyplanet.com/india/goa/candolim-1329279/shopping/fabindia/a/poi-sho/1116818/1329279
